tweet,klasifikasi
"Waspada COVID-19 Melandai,
Waspada Tukang Jualan Vaksin, Antigen, dan Test PCR masih berusaha main drama lagi 

#COVID19 #Covid19Indonesia #PemerintahIndonesia #SatGasCovid19",neutral
"Sudah vaksin dosis 2, kenapa harus rest pcr untuk syarat penerbangan?????
#TolakTestPCRuntukSyaratPenerbangan
#pcrtest
#vaksinasi
#covid19
#covid19indonesia
#ppkm
#syaratpenerbangan",neutral
"Yang tidak percaya covid tpi tetap ngikutin protokol kesehatan kita satu server

#covid19
#COVID19indonesia",neutral
"Berita 
tahun 2020: penuh dengan terpapar penyakit.

tahun 2021: kenaikan kasus terpapar virus melonjak & angka kematian terus naik.

tahun 2022: ?/?/?/?
tahun 2023: ?/?/?/?/?/?
tahun 2024: ?/?/?/?/?/?/?/?/?
#JanganTunggu2024 #COVID19indonesia #COVID19",positive
"Yg satu pengen nguasai mars, yg satu lg pengen bikin tour luar angkasa. Indonesia masih sibuk cari cara nanganin COVID-19. Masih cari cara loh, blom ketemu caranya. #COVID19 #COVID19indonesia #Covid",positive
"Kamu gak bosen kah begini terus ? Tolong cepatlah pergi, #COVID19 #Covid #COVID19indonesia",positive
"percaya covid itu tidak ada dan menolak vaksin itu urusanmu, tapi jangan pengaruhi orang2 utk menjadi bodoh berjama'ah bersamamu, simpan saja kebodohan itu dlm hati..
sebelum kamu positif covid dan akhirnya dunia mentertawakanmu
#COVID19 #COVIDIOT #COVID19indonesia",negative
"Kalo PPKM Diperpanjang, apakah cicilan KPR, KKB, Kartu Kredit itu boleh ditunda TANPA denda, bunga dan surat peringatan ya ? PPKM Darurat lanjut lalu rakyatnya mau makan apa? Tdk semua orang tidak bekerja & mendptkan penghasilan 
@jokowi
 #COVID19 #covid19indonesia #covidindonesia",neutral
"Heran ya sama org2 yg mengelu2kan angka kesembuhan COVID hari ini tinggi, tapi kalau angka infeksi barunya jauh lebih tinggi lagi, ya ga ada guna oi! #COVIDIOTS #COVID19 #covid19Indonesia",positive
"Dapat kabar Silih berganti dari kampung,

Dari saudara jauh,menantunya lalu mertuanya,

Hari ni kk tmn,mertua tmn...ntah besok siapa lagi

اللّهمّ اغرلهم وارحمهم وعافهم واعف عنهم

#COVID19 itu nyata
#COVID19Indonesia

Take care buat semuanya yg ada di Indonesia
",positive
"Habis di vaksin trus pingsan di bawa ke rs positif covid, trus gunanya vaksin itu apa? 
#VaksinasiPPKM5M 
#COVID19 
#COVID19indonesia",positive
Jadi begini rasanya terkena COVID-19 dengan gejala-gejala yang ada. Bagaimana denganmu? #COVID19 #COVID19indonesia,neutral
"My thoughts are with 3 friends in Jakarta who have contracted Covid19. Wishing you all a speedy recovery. 

Pikiran saya bersama 3 teman di Jakarta yang terjangkit Covid19. Semoga Anda semua cepat pulih.

#COVID19 #COVID19indonesia #Covid19Jakarta",positive
"Jokowie gak punya duit.
#COVID19 
Gmn membendung #COVID19indonesia kalo RS RS pun belum di bayar Jokowie?",neutral
Tetap jaga jarak kalau gak mau TERSAKITI. #Covid_19 #COVID19 #COVID19indonesia,neutral
"Tiga Setan Kota COVID-19
1. Kaum Penimbun Oksigen
2. Kaum Penimbun obat-obatan
3. Kaum Penimbun Sembako
#COVID19 #COVID19indonesia 
 Saya berharap ditangkap secepatnya, tolong  bapak 
@luhutbinsarp
 
@satgascovid19id
 
@DivHumas_Polri
 
@KejaksaanRI
 
@Puspenkum
 ",neutral
"Yg satu pengen nguasai mars, yg satu lg pengen bikin tour luar angkasa. Indonesia masih sibuk cari cara nanganin COVID-19. Masih cari cara loh, blom ketemu caranya. #COVID19 #COVID19indonesia #Covid",positive
"Kamu gak bosen kah begini terus ? Tolong cepatlah pergi, #COVID19 #Covid #COVID19indonesia",positive
"percaya covid itu tidak ada dan menolak vaksin itu urusanmu, tapi jangan pengaruhi orang2 utk menjadi bodoh berjama'ah bersamamu, simpan saja kebodohan itu dlm hati..
sebelum kamu positif covid dan akhirnya dunia mentertawakanmu
#COVID19 #COVIDIOT #COVID19indonesia",negative
"Kalo PPKM Diperpanjang, apakah cicilan KPR, KKB, Kartu Kredit itu boleh ditunda TANPA denda, bunga dan surat peringatan ya ? PPKM Darurat lanjut lalu rakyatnya mau makan apa? Tdk semua orang tidak bekerja & mendptkan penghasilan 
@jokowi
 #COVID19 #covid19indonesia #covidindonesia",neutral
"Heran ya sama org2 yg mengelu2kan angka kesembuhan COVID hari ini tinggi, tapi kalau angka infeksi barunya jauh lebih tinggi lagi, ya ga ada guna oi! #COVIDIOTS #COVID19 #covid19Indonesia",positive
"Dapat kabar Silih berganti dari kampung,

Dari saudara jauh,menantunya lalu mertuanya,

Hari ni kk tmn,mertua tmn...ntah besok siapa lagi

اللّهمّ اغرلهم وارحمهم وعافهم واعف عنهم

#COVID19 itu nyata
#COVID19Indonesia

Take care buat semuanya yg ada di Indonesia
",positive
"Habis di vaksin trus pingsan di bawa ke rs positif covid, trus gunanya vaksin itu apa? 
#VaksinasiPPKM5M 
#COVID19 
#COVID19indonesia",positive
Jadi begini rasanya terkena COVID-19 dengan gejala-gejala yang ada. Bagaimana denganmu? #COVID19 #COVID19indonesia,neutral
"My thoughts are with 3 friends in Jakarta who have contracted Covid19. Wishing you all a speedy recovery. 

Pikiran saya bersama 3 teman di Jakarta yang terjangkit Covid19. Semoga Anda semua cepat pulih.

#COVID19 #COVID19indonesia #Covid19Jakarta",positive
"Jokowie gak punya duit.
#COVID19 
Gmn membendung #COVID19indonesia kalo RS RS pun belum di bayar Jokowie?",neutral
Tetap jaga jarak kalau gak mau TERSAKITI. #Covid_19 #COVID19 #COVID19indonesia,neutral
"Tiga Setan Kota COVID-19
1. Kaum Penimbun Oksigen
2. Kaum Penimbun obat-obatan
3. Kaum Penimbun Sembako
#COVID19 #COVID19indonesia 
 Saya berharap ditangkap secepatnya, tolong  bapak 
@luhutbinsarp
 
@satgascovid19id
 
@DivHumas_Polri
 
@KejaksaanRI
 
@Puspenkum
 ",neutral
"Isoman, makan mie tiap malam, covid kaga usus buntu iya.

#COVID19 #COVID19indonesia",neutral
"Covid19 itu beneran apa bohongan sih? , Yg punya argumen soal cocid tolong di jelasin donk :) 
#COVID19 #COVID19indonesia #AstraZeneca #COVIDIOTS #COVISHIELD #Covid_19",positive
"Akhir2 ini, saya lihat pemerintah pusat dgn tenaga dlm2 lebih memilih tangani Papua (operasi militer) daripada melawan #COVID19 #COVID19indonesia",negative
"Dari sekian konspirasi covid, sy lebih curiga kalo covid awalnya dari konoha sih. Kabuto sm orochimaru adalah elite global.


@POTUS
 
@UN
 tolong konoha di embargo, tangkap dan adili orochimaru bersama kroninya 

#COVID19 #COVID19indonesia #TangkapdanAdiliOrochimaru",positive
"Balik Dari kios liat ambulan bisa kaya liat angkot Lalu-lalang, dulu paling banyak mentok 2, akhir2 ini tiap hari di itung2 hampir ada 5 - 7 kali papasan Ambulan. 
.
#SegeraMembaikIndonesiaku
#SegeraMembaikDuniaku #COVID19 #COVID19indonesia #UdahanDonk",positive
"nak sudah sarapan?? ""tanya seorang ibu ""
sudah bu ""jawab sosok pemuda""
sarapan apa nak? ""tanya lagi seorang ibu ,dengan rasa kuatir""
sarapan Promag bu lawuh Covid-19 

#COVID19 
#COVID19indonesia 
#thepowerofEmakemak 
#Simbok",positive
"Liat status di sosmed hampir setiap hari isinya kabar duka,
setiap harinya ada aja yg wafat...
dari orang yg kenal sampe gak kenal, bahkan karena corona atau bukan...
kayaknya kematian sangat dekat banget kayak tinggal tunggu giliran aja gitu...
 #COVID19indonesia #COVID19",negative
"sekelebat prediksi lagi. 
* MEDIA beritakan CORONA PANIKNY luarrbiasaaaa, AL-QURAN beritakan PEDIHNYA NERAKA, manusia CUEKNYA luarrrrbiasaa"" . 
. 
. 
. 
. 
#COVID19 #COVID19indonesia #indonesia #islam",neutral
